Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
2936.6666666666665,212.40000000000006,340.2423194916079,3149.0666666666666,0.0,18
1570.0,200.5439940342775,546.0,1770.5439940342776,1.0,10
1576.0,203.08407946312582,534.0,1779.0840794631258,1.0,10
1573.3333333333333,201.9209551673748,535.0,1775.254288500708,1.0,10
1578.3333333333333,203.95836117973096,533.0,1782.2916945130642,1.0,10
1572.0,201.4787658370326,540.0,1773.4787658370326,1.0,10
1570.3333333333333,200.50886697031228,549.0,1770.8422003036455,1.0,10
1573.0,201.67945889463255,536.0,1774.6794588946325,1.0,10
1570.3333333333333,200.60714205028194,544.0,1770.9404753836152,1.0,10
1571.3333333333333,201.06613028250587,543.0,1772.399463615839,1.0,10
1565.3333333333333,199.22551561715758,571.0,1764.5588489504908,1.0,10
1556.3333333333333,195.54891141768735,586.0,1751.8822447510206,1.0,10
1565.0,198.89533298404606,576.0,1763.895332984046,1.0,10
1567.3333333333333,200.1029906868445,566.0,1767.4363240201778,1.0,10
1559.0,196.45566253861563,580.0,1755.4556625386156,1.0,10
1558.0,195.9699956748937,581.0,1753.9699956748937,1.0,10
1559.3333333333333,196.6159517333859,578.0,1755.949285066719,1.0,10
1557.6666666666665,195.85504761688557,585.0,1753.521714283552,1.0,10
1567.3333333333333,200.21554217902016,564.0,1767.5488755123533,1.0,10
1564.6666666666665,198.9517295541905,572.0,1763.618396220857,1.0,10
1559.0,196.47408694514328,579.0,1755.4740869451432,1.0,10
