Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
3149.6666666666665,242.43905529328887,392.1623862143787,3392.105721959955,0.047619047619047616,21
3148.0,247.78602080882,386.1623862143787,3395.78602080882,0.047619047619047616,21
3239.0,247.8000000000001,363.0278085070808,3486.8,0.0,21
3239.6666666666665,247.8000000000001,363.0278085070808,3487.4666666666667,0.0,21
3130.0,236.00000000000009,393.81164676571274,3366.0,0.0,20
3130.6666666666665,236.00000000000009,393.81164676571274,3366.6666666666665,0.0,20
2050.333333333333,195.20829634421258,556.0,2245.5416296775456,1.0,14
2067.0,195.50815299189483,555.0,2262.508152991895,1.0,14
2050.333333333333,194.9690338976499,557.0,2245.302367230983,1.0,14
2076.6666666666665,198.4840687452776,553.0,2275.150735411944,1.0,14
2085.6666666666665,199.4074199442707,552.0,2285.0740866109372,1.0,14
2055.6666666666665,190.85427863317213,567.0,2246.520945299839,1.0,14
2055.0,190.39028174006853,574.0,2245.3902817400685,1.0,14
2063.333333333333,190.79872113799456,573.0,2254.1320544713276,1.0,14
2050.333333333333,194.88328834404993,558.0,2245.216621677383,1.0,14
2070.0,197.97277963831024,554.0,2267.9727796383104,1.0,14
2081.0,193.78028099866413,559.0,2274.7802809986642,1.0,14
2081.6666666666665,193.40036404117527,561.0,2275.0670307078417,1.0,14
2078.0,192.2954383088731,564.0,2270.295438308873,1.0,14
3081.333333333333,231.26682203020903,400.57257708515414,3312.600155363542,0.05,20
