Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
2745.6666666666665,228.86312611333472,662.5526586139893,2974.529792780001,0.05555555555555555,18
2756.0,228.86312611333472,661.1944162219338,2984.8631261133346,0.05555555555555555,18
2745.333333333333,228.86312611333472,669.096038012362,2974.1964594466676,0.05555555555555555,18
2741.333333333333,229.61601968119732,676.7515940588557,2970.9493530145305,0.05555555555555555,18
2743.0,228.86312611333472,670.7752440873196,2971.8631261133346,0.05555555555555555,18
2743.0,228.86312611333474,670.7752440873196,2971.8631261133346,0.05555555555555555,18
2819.333333333333,212.40000000000006,611.6502085397632,3031.733333333333,0.0,18
2790.333333333333,212.40000000000006,625.9030001444685,3002.733333333333,0.0,18
2785.333333333333,212.40000000000006,628.639205924135,2997.733333333333,0.0,18
2798.0,212.40000000000006,616.4822115169103,3010.4,0.0,18
2799.0,212.40000000000006,613.7143028039659,3011.4,0.0,18
2802.0,212.40000000000006,613.1389154073821,3014.4,0.0,18
2803.6666666666665,212.40000000000006,612.5684161591786,3016.0666666666666,0.0,18
2826.0,212.40000000000006,610.6990010587022,3038.4,0.0,18
2829.333333333333,212.40000000000006,610.1482061672879,3041.733333333333,0.0,18
2831.6666666666665,212.40000000000006,609.412783196024,3044.0666666666666,0.0,18
2825.0,212.40000000000006,611.4913086679976,3037.4,0.0,18
2791.333333333333,212.40000000000006,618.9850948108163,3003.733333333333,0.0,18
2797.6666666666665,212.40000000000006,616.8087693972677,3010.0666666666666,0.0,18
2796.6666666666665,212.40000000000006,617.5060833990453,3009.0666666666666,0.0,18
2806.0,212.40000000000006,611.9814521901604,3018.4,0.0,18
2796.333333333333,212.40000000000006,617.9758879218421,3008.733333333333,0.0,18
1691.0,250.0035976743791,715.0,1941.003597674379,1.0,11
1673.3333333333333,242.9138988062431,739.0,1916.2472321395765,1.0,11
1724.0,264.35639196109037,702.0,1988.3563919610904,1.0,11
1723.3333333333333,264.3014188637656,704.0,1987.6347521970988,1.0,11
1674.3333333333333,243.2538889101021,726.0,1917.5872222434355,1.0,11
1691.3333333333333,250.26151628581604,713.0,1941.5948496191493,1.0,11
1680.3333333333333,245.96131311237224,723.0,1926.2946464457054,1.0,11
1684.0,247.6379324349146,718.0,1931.6379324349145,1.0,11
1675.0,243.71593820883464,725.0,1918.7159382088346,1.0,11
1710.6666666666665,259.0014426548053,706.0,1969.6681093214718,1.0,11
2776.0,221.59450013353114,658.8515209845893,2997.5945001335313,0.05555555555555555,18
